City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kilindoni,-7.9139,39.6668,75.09,64,3,26.87,TZ,1627177717
Pingxiang,27.6167,113.85,87.58,64,5,2.3,CN,1627177600
Coquimbo,-29.9533,-71.3436,51.53,93,0,4.61,CL,1627177717
Kristinestad,62.2743,21.376,58.91,86,41,6.71,FI,1627177718
Labuhan,-6.8844,112.2051,81.28,66,3,5.95,ID,1627177541
Pombas,17.1503,-25.0201,73.18,71,57,8.16,CV,1627177718
Raudeberg,61.9875,5.1352,59.2,90,19,5.88,NO,1627177719
Shymkent,42.3,69.6,88.05,13,0,3.38,KZ,1627177719
Sciacca,37.5082,13.0881,75.04,56,0,5.39,IT,1627177720
Laguna,38.421,-121.4238,103.32,27,1,5.99,US,1627177720
Flin Flon,54.7682,-101.865,63.36,77,43,7.63,CA,1627177619
Salalah,17.0151,54.0924,77.09,100,90,8.05,OM,1627177721
Araouane,18.9048,-3.5265,88.32,43,25,13.87,ML,1627177721
Souillac,-20.5167,57.5167,70.18,78,40,8.05,MU,1627177721
Port Pirie,-33.1833,138.0167,57.29,65,10,16.24,AU,1627177722
Bahār,34.9072,48.4414,72.68,28,6,3.18,IR,1627177722
Te Anau,-45.4167,167.7167,53.87,67,100,5.82,NZ,1627177723
Lüderitz,-26.6481,15.1594,63.66,21,19,11.9,NA,1627177723
Bizhbulyak,53.6967,54.2642,56.26,86,39,7.0,RU,1627177723
Chilca,-12.5211,-76.7372,62.76,88,98,8.59,PE,1627177724
Khorosheve,49.8528,36.2195,66.52,82,0,4.0,UA,1627177724
Kailua,21.4022,-157.7394,91.38,70,75,14.97,US,1627177600
Colares,38.7992,-9.4469,67.28,78,39,5.01,PT,1627177725
Chennai,13.0878,80.2785,85.98,70,40,4.61,IN,1627177637
Chuguyevka,44.1653,133.8633,92.82,47,56,4.5,RU,1627177725
Troy,42.6056,-83.1499,74.88,94,90,1.01,US,1627177725
Athens,37.9795,23.7162,78.17,54,0,1.99,GR,1627177598
Tungor,53.3808,142.9564,85.15,57,94,7.99,RU,1627177726
Buraidah,26.326,43.975,90.05,16,11,4.94,SA,1627177727
Uruçuí,-7.2294,-44.5561,78.58,45,0,10.07,BR,1627177727
Harper,4.375,-7.7169,75.16,74,90,6.08,LR,1627177727
São Francisco de Assis,-29.5503,-55.1311,66.25,65,35,7.83,BR,1627177728
Lakes Entrance,-37.8811,147.981,53.58,47,39,20.45,AU,1627177728
Soyo,-6.1349,12.3689,70.16,93,10,4.65,AO,1627177729
Innisfail,-17.5333,146.0333,82.87,49,91,11.77,AU,1627177729
Mbandaka,0.0487,18.2603,73.96,63,100,3.69,CD,1627177729
Tynne,50.6015,26.1849,60.75,70,29,4.34,UA,1627177730
Kaiyuan,23.6977,103.3037,66.9,96,100,3.15,CN,1627177730
Nurlat,54.4277,50.8051,51.55,73,0,5.59,RU,1627177730
Misratah,32.3754,15.0925,79.16,66,0,5.91,LY,1627177731
Marsh Harbour,26.5412,-77.0636,80.38,69,100,6.64,BS,1627177731
Sainte-Marie,-20.8968,55.5496,66.36,68,40,6.91,RE,1627177732
San Quintín,30.4833,-115.95,69.01,82,100,7.99,MX,1627177732
Mopipi,-21.1833,24.8833,48.34,57,0,14.92,BW,1627177732
Skibbereen,51.55,-9.2667,62.4,94,10,4.41,IE,1627177733
Zhigansk,66.7697,123.3711,66.11,52,14,16.93,RU,1627177542
Biltine,14.5333,20.9167,82.83,57,100,16.73,TD,1627177733
Plettenberg Bay,-34.0527,23.3716,52.18,38,7,6.08,ZA,1627177549
Port Lincoln,-34.7333,135.8667,58.69,75,62,26.87,AU,1627177516
Egvekinot,66.3167,-179.1667,50.0,85,100,4.56,RU,1627177734
Victor Harbor,-35.5667,138.6167,56.46,89,72,1.99,AU,1627177734
Waycross,31.2136,-82.354,81.07,86,1,5.75,US,1627177687
Arrondissement de Cognac,45.5,-0.25,64.0,94,40,9.22,FR,1627177735
Kudahuvadhoo,2.6708,72.8944,81.95,77,100,7.2,MV,1627177735
Bud,39.447,-86.1758,80.69,88,8,7.38,US,1627177736
Wad Medani,14.4012,33.5199,75.47,78,100,1.32,SD,1627177736
Sisimiut,66.9395,-53.6735,40.91,92,100,5.41,GL,1627177737
Ust'-Omchug,61.15,149.6333,59.29,78,100,9.95,RU,1627177737
Tandil,-37.3217,-59.1332,51.31,98,100,5.99,AR,1627177737
Saint-Pierre,-21.3393,55.4781,65.88,82,75,9.22,RE,1627177738
Malindi,-3.2175,40.1191,75.69,73,0,22.91,KE,1627177738
Murmino,54.6036,40.0544,57.33,66,99,1.59,RU,1627177738
Gibara,21.1097,-76.1317,81.72,86,64,7.72,CU,1627177739
Arkhangelsk,64.5401,40.5433,50.11,81,40,4.47,RU,1627177739
Xinzhou,38.4092,112.7333,82.13,55,98,6.62,CN,1627177740
Santa Fe,-31.6333,-60.7,64.02,74,86,4.0,AR,1627177740
Manjakandriana,-18.9167,47.8,53.29,95,100,8.81,MG,1627177740
Senneterre,48.3835,-77.2328,61.02,96,100,14.81,CA,1627177741
San Cristobal,7.7669,-72.225,73.58,99,100,3.83,VE,1627177533
Valmiera,57.5411,25.4275,52.41,84,2,1.39,LV,1627177742
Dzaoudzi,-12.7887,45.2699,76.89,73,20,25.32,YT,1627177742
Ankazoabo,-22.2833,44.5167,55.08,76,1,11.77,MG,1627177742
Yerbogachën,61.2767,108.0108,76.84,42,59,5.75,RU,1627177559
Røros,62.5747,11.3842,57.31,76,96,2.55,NO,1627177743
Kollam,8.8833,76.6,76.87,88,72,8.05,IN,1627177743
Broken Hill,-31.95,141.4333,51.51,71,19,18.41,AU,1627177593
Lata,40.1629,-8.3327,60.06,95,19,1.36,PT,1627177744
Yarega,63.4354,53.5765,44.98,95,100,8.59,RU,1627177745
Miquelon,47.0975,-56.3814,57.2,88,21,9.4,PM,1627177745
Constitución,-35.3333,-72.4167,51.53,88,100,15.66,CL,1627177745
Elizabeth City,36.2946,-76.2511,77.05,73,1,5.75,US,1627177746
Merauke,-8.4667,140.3333,78.21,83,100,5.93,ID,1627177746
Half Moon Bay,37.4636,-122.4286,87.75,69,40,20.71,US,1627177716
Muli,2.9167,73.5667,81.19,78,96,4.68,MV,1627177747
Manokwari,-0.8667,134.0833,81.14,73,100,8.41,ID,1627177747
Kalemie,-5.9475,29.1947,71.2,66,0,15.03,CD,1627177748
Jalalpur Jattan,32.6374,74.2183,85.87,84,40,0.0,PK,1627177748
Skowhegan,44.7651,-69.7192,66.76,85,59,4.29,US,1627177749
Baykit,61.67,96.37,80.28,45,7,3.36,RU,1627177749
Limbang,4.75,115.0,87.91,60,43,0.67,MY,1627177749
Renqiu,38.6989,116.0936,88.32,59,35,7.81,CN,1627177750
Uyskoye,54.3775,60.0047,60.94,70,61,4.09,RU,1627177750
Aguadulce,8.25,-80.55,74.88,96,100,8.12,PA,1627177751
Calabozo,8.9242,-67.4293,74.17,95,100,0.85,VE,1627177751
Nizhnyaya Poyma,56.1622,97.1933,74.26,49,0,9.28,RU,1627177751
San Felipe,10.3399,-68.7425,74.88,88,100,3.04,VE,1627177752
Muroto-misakicho,33.2833,134.15,86.04,79,100,13.24,JP,1627177752
Nanga Eboko,4.6833,12.3667,66.56,94,94,5.19,CM,1627177752
Ţahţā,26.7693,31.5021,79.12,32,0,7.07,EG,1627177753
Semey,50.4111,80.2275,75.42,57,0,6.71,KZ,1627177753
Shimoda,34.6667,138.95,82.76,64,1,10.58,JP,1627177754
Krasnosel'kup,65.7,82.4667,67.44,80,100,11.41,RU,1627177754
Aksu,41.1231,80.2644,87.42,31,0,2.64,CN,1627177754
Salinas,36.6777,-121.6555,84.87,71,75,14.97,US,1627177755
Tete,-16.1564,33.5867,64.49,63,40,3.44,MZ,1627177755
San Luis,-33.295,-66.3356,49.32,61,80,9.57,AR,1627177755
San Vicente,-26.6167,-54.1333,63.9,55,42,5.26,AR,1627177756
Sitka,57.0531,-135.33,57.09,82,75,12.66,US,1627177756
Progreso,21.2833,-89.6667,84.31,85,99,8.95,MX,1627177757
Uyemskiy,64.4743,40.8524,50.05,81,40,4.47,RU,1627177757
Omsukchan,62.5333,155.8,56.68,79,100,6.87,RU,1627177757
Nha Trang,12.25,109.1833,91.4,53,69,0.09,VN,1627177554
San Ramon,37.7799,-121.978,95.43,51,1,13.8,US,1627177758
Coahuayana Viejo,18.7333,-103.6833,80.24,90,65,3.02,MX,1627177758
Ambon City,-3.6954,128.1814,89.74,66,40,2.3,ID,1627177759
Ampanihy,-24.7,44.75,59.61,60,80,11.61,MG,1627177759
Spring Valley,36.108,-115.245,99.79,27,75,17.27,US,1627177382
Abalak,58.1286,68.5944,57.54,98,100,4.41,RU,1627177760
Djenné,13.9061,-4.5533,85.06,54,100,8.16,ML,1627177760
Santa Isabel Rio Negro,-0.4139,-65.0192,73.2,98,100,1.79,BR,1627177760
Ola,59.5833,151.2833,55.67,93,99,7.36,RU,1627177761
Grand Gaube,-20.0064,57.6608,70.2,78,13,5.01,MU,1627177548
Binga,-17.6203,27.3414,59.88,47,77,7.87,ZW,1627177762
Hualmay,-11.0964,-77.6139,62.85,84,58,7.63,PE,1627177762
Borskoye,53.0333,51.7167,57.02,79,5,8.14,RU,1627177762
Marawi,7.9986,124.2928,82.45,56,16,6.8,PH,1627177763
Whyalla,-33.0333,137.5833,57.09,67,12,16.11,AU,1627177763
Maumere,-8.6199,122.2111,81.5,62,19,3.0,ID,1627177764
Barinitas,8.7622,-70.4111,72.88,97,100,1.16,VE,1627177764
Verkh-Usugli,52.7,115.1667,57.85,79,100,6.67,RU,1627177764
Esperance,-33.8667,121.9,55.24,66,100,18.05,AU,1627177765
Marzuq,14.4,46.4667,71.85,83,91,8.77,YE,1627177765
Walla Walla,46.0646,-118.343,98.51,24,1,4.0,US,1627177534
Arkadelphia,34.1209,-93.0538,90.0,84,1,0.0,US,1627177766
Kindu,-2.95,25.95,75.31,52,86,2.24,CD,1627177766
Thinadhoo,0.5333,72.9333,82.22,77,100,11.27,MV,1627177574
Kondinskoye,59.6481,67.41,62.06,78,100,3.06,RU,1627177767
Muisne,0.6,-80.0333,74.34,83,99,6.98,EC,1627177767
Adrar,20.5022,-10.0711,91.24,21,95,9.6,MR,1627177569
Mulanje,-16.0316,35.5,54.12,95,27,7.05,MW,1627177768
Lipin Bor,60.2622,37.9763,55.62,65,100,7.27,RU,1627177768
Saint Lawrence,36.0553,14.204,75.85,84,0,2.89,MT,1627177768
Takoradze,4.8845,-1.7554,73.35,85,9,7.96,GH,1627177769
Atessa,42.0693,14.4511,77.02,54,32,6.26,IT,1627177769
Gävle,60.6745,17.1417,57.0,79,71,5.79,SE,1627177769
Asău,46.4333,26.4,63.75,86,3,3.02,RO,1627177770
Wagga Wagga,-35.1167,147.3667,47.61,87,90,14.97,AU,1627177770
Inongo,-1.95,18.2667,67.59,66,82,3.51,CD,1627177770
Manzhouli,49.6,117.4333,69.17,57,31,14.2,CN,1627177552
Serra Negra,-22.6122,-46.7006,61.11,48,0,4.83,BR,1627177718
Bubaque,11.2833,-15.8333,78.08,86,100,16.31,GW,1627177771
Kashgar,39.4547,75.9797,81.61,28,20,6.71,CN,1627177772
Judaberg,59.1659,5.8732,62.15,94,0,4.59,NO,1627177772
Klyuchi,52.2667,79.1667,75.0,58,1,5.77,RU,1627177773
Iskateley,67.6803,53.1512,46.17,90,100,11.59,RU,1627177773
Ōhara,35.25,140.3833,87.75,69,2,12.1,JP,1627177773
Ardabil,38.2498,48.2933,64.29,94,100,6.91,IR,1627177774
Gaya,24.7833,85.0,82.31,89,20,4.61,IN,1627177774
Windhoek,-22.5594,17.0832,46.6,25,4,8.05,NA,1627177645
Tikrit,34.6071,43.6782,92.64,21,0,10.33,IQ,1627177775
Farafangana,-22.8167,47.8333,65.17,75,100,13.82,MG,1627177754
Yulara,-25.2406,130.9889,60.64,33,64,9.22,AU,1627177598
Pervomayskoye,43.919,46.7102,71.85,77,92,3.31,RU,1627177776
Tucumcari,35.1717,-103.725,91.24,25,1,9.22,US,1627177776
Yangi Marg`ilon,40.4272,71.7189,83.12,32,0,2.3,UZ,1627177776
Bazarnyy Syzgan,53.7512,46.7535,51.51,82,0,3.6,RU,1627177777
Baturaja,-4.1333,104.1667,81.9,72,2,3.51,ID,1627177777
Punta Alta,-38.8759,-62.0736,49.19,60,99,8.68,AR,1627177777
Dingle,10.9995,122.6711,85.64,71,73,18.19,PH,1627177778
Laguna de Perlas,12.3429,-83.6712,78.48,89,100,10.49,NI,1627177778
Novikovo,51.1537,37.8879,57.51,78,0,3.71,RU,1627177779
Kavaratti,10.5669,72.642,82.0,78,93,21.05,IN,1627177779
San Miguel de Tucumán,-26.8241,-65.2226,60.8,63,40,10.36,AR,1627177779
Mogoytuy,51.2833,114.9167,64.98,69,96,7.25,RU,1627177780
Poum,-20.2333,164.0167,73.69,74,23,4.29,NC,1627177780
Lubliniec,50.669,18.6844,68.41,72,20,5.57,PL,1627177780
Londoko,49.0333,131.9833,79.29,67,100,3.15,RU,1627177781
Verkhnyaya Sysert’,56.4372,60.75,57.0,89,59,8.12,RU,1627177781
Svetlaya,46.5389,138.3297,77.67,77,74,10.16,RU,1627177782
Rudnogorsk,57.2639,103.7519,76.89,43,46,4.83,RU,1627177782
Alvand,36.3187,49.1678,60.12,94,39,6.24,IR,1627177782
Tezu,27.9167,96.1667,80.49,89,95,1.52,IN,1627177783
Novi Pazar,43.1367,20.5122,58.41,83,7,2.3,RS,1627177783
Magdagachi,53.45,125.8,72.07,76,7,4.0,RU,1627177783
Atikokan,48.7555,-91.6216,72.16,41,0,7.78,CA,1627177784
Mezhova,48.2532,36.7347,62.64,63,0,4.18,UA,1627177784
Saint-Joseph,-21.3667,55.6167,64.78,73,20,8.34,RE,1627177785
Ban Nahin,18.2418,104.2122,75.47,99,100,2.19,LA,1627177785
Valparaíso,-33.0393,-71.6273,53.47,82,75,4.61,CL,1627177743
Karratha,-20.7377,116.8463,76.95,34,58,10.96,AU,1627177785
